,teamname,league,result,firstdragon,firstherald,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons,heralds,firsttower,dragon_buff,infernal_buff,mountain_buff,cloud_buff,ocean_buff,chemtech_buff,hextech_buff,herald_firsttower
514,Bandits Gaming,EL,1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,1.0,1,0,0,0,0,1,0,1
515,Janus Esports,EL,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0
526,Nongshim Esports Academy,LCKC,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0,0,0,0,0,0,0,1
527,DRX Challengers,LCKC,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0
538,Nongshim Esports Academy,LCKC,1,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,0,0,0,0,0,0,0,0
539,DRX Challengers,LCKC,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0
550,Hanwha Life Esports Challengers,LCKC,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0,0,0,0,0,0,0,0
551,Gen.G Global Academy,LCKC,1,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,1.0,1,0,0,0,1,0,0,0
562,Gen.G Global Academy,LCKC,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0
563,Hanwha Life Esports Challengers,LCKC,1,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0,0,0,0,0,0,0,1
586,Hanwha Life Esports Challengers,LCKC,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0,0,0,0,0,0,0,1
587,Gen.G Global Academy,LCKC,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0
622,BRION Challengers,LCKC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
623,Dplus KIA Challengers,LCKC,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0,0,0,0,0,0,0,1
646,Dplus KIA Challengers,LCKC,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1
647,BRION Challengers,LCKC,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0,0,0,0,0,0,0,0
658,Magna Esports,NEXO,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0,0,0,0,0,0,0,1
659,UCAM Tokiers Academy,NEXO,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0
670,Goskilla,UL,1,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0,2.0,1.0,1,0,1,0,0,0,0,1
671,Illuminar Gaming,UL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
682,Taurus Esports,NEXO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0
683,Kawaii Kiwis,NEXO,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0,0,0,0,0,0,0,1
694,BISONS ECLUB,LVP SL,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0,0,0,0,0,0,0,1
695,Barça eSports,LVP SL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0
706,Iron Wolves,UL,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0
707,Zero Tenacity,UL,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,0,1
718,Bis Esports,NEXO,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,1,0,0,0,0,0,1,0
719,TDC Esports,NEXO,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0,0,0,0,0,0,0,1
730,Movistar Riders,LVP SL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0
731,Fnatic TQ,LVP SL,0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0,1,0,0,0,0,1,0,1
742,Team ESCA Gaming,UL,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0,0,0,0,0,0,0,1
743,Komil & Friends,UL,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
754,ECORP,NEXO,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0
755,Oxygen Valiants,NEXO,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,1,0,0,0,0,0,1,1
766,Rebels Gaming,LVP SL,1,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1,0,1,0,0,0,0,0
767,Guasones,LVP SL,0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0,0,0,0,0,0,0,1
778,Alior Bank Team,UL,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,1.0,1,0,0,0,0,0,1,1
779,exeed,UL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
790,Phlox Gaming,NEXO,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
791,Stormbringers,NEXO,1,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0,0,0,0,0,0,0,1
802,Maturalni Forsaken,UL,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0
803,Grypciocraft Esports,UL,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0,0,0,0,0,0,0,1
814,Los Heretics,LVP SL,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0,0,0,0,0,0,0,1
815,Giants,LVP SL,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,1,0,0,0,0,0,1,0
826,Finetwork KOI,LVP SL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
827,UCAM Tokiers,LVP SL,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0,0,0,0,0,0,0,1
838,Spirituals,GL,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1
839,Polar Squad Esports,GL,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0,0,0,0,0,0,0,0
850,Spirituals,GL,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0
851,Polar Squad Esports,GL,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0,0,0,0,0,0,0,1
862,Osaka,GL,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,0,1
863,Zeus Kralik,GL,1,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,1,0,0,0,0,1,0,0
874,Zeus Kralik,GL,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0,0,0,0,0,0,0,1
875,Osaka,GL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0
886,Kwangdong Freecs Challengers,LCKC,1,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,2.0,1.0,1,0,1,0,0,0,0,1
887,KT Rolster Challengers,LCKC,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0
898,KT Rolster Challengers,LCKC,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0,0,0,0,0,0,0,1
899,Kwangdong Freecs Challengers,LCKC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
922,Kwangdong Freecs Challengers,LCKC,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0,0,0,0,0,0,0,1
